customerid,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn,tenure_band,charge_band,num_services,lifetime_value,churn_label
7469-LKBCI,Male,0,0,0,16,1,0,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),18.95,326.8,0,13–24 mo,Low,0,303.2,Retained
8091-TTVAX,Male,0,1,0,58,1,1,Fiber optic,0,0,1,0,1,1,One year,0,Credit card (automatic),100.35,5681.1,0,49–60 mo,Premium,3,5820.299999999999,Retained
0280-XJGEX,Male,0,0,0,49,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Bank transfer (automatic),103.7,5036.3,1,49–60 mo,Premium,4,5081.3,Churned
5129-JLPIS,Male,0,0,0,25,1,0,Fiber optic,1,0,1,1,1,1,Month-to-month,1,Electronic check,105.5,2686.05,0,25–36 mo,Premium,5,2637.5,Retained
3655-SNQYZ,Female,0,1,1,69,1,1,Fiber optic,1,1,1,1,1,1,Two year,0,Credit card (automatic),113.25,7895.15,0,61–72 mo,Premium,6,7814.25,Retained
8191-XWSZG,Female,0,0,0,52,1,0,No,0,0,0,0,0,0,One year,0,Mailed check,20.65,1022.95,0,49–60 mo,Low,0,1073.8,Retained
9959-WOFKT,Male,0,0,1,71,1,1,Fiber optic,1,0,1,0,1,1,Two year,0,Bank transfer (automatic),106.7,7382.25,0,61–72 mo,Premium,4,7575.7,Retained
4190-MFLUW,Female,0,1,1,10,1,0,DSL,0,0,1,1,0,0,Month-to-month,0,Credit card (automatic),55.2,528.35,1,0–12 mo,Medium,2,552.0,Churned
4183-MYFRB,Female,0,0,0,21,1,0,Fiber optic,0,1,1,0,0,1,Month-to-month,1,Electronic check,90.05,1862.9,0,13–24 mo,High,3,1891.05,Retained
8779-QRDMV,Male,1,0,0,1,0,0,DSL,0,0,1,0,0,1,Month-to-month,1,Electronic check,39.65,39.65,1,0–12 mo,Medium,2,39.65,Churned
1680-VDCWW,Male,0,1,0,12,1,0,No,0,0,0,0,0,0,One year,0,Bank transfer (automatic),19.8,202.25,0,0–12 mo,Low,0,237.60000000000002,Retained
1066-JKSGK,Male,0,0,0,1,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,20.15,20.15,1,0–12 mo,Low,0,20.15,Churned
3638-WEABW,Female,0,1,0,58,1,1,DSL,0,1,0,1,0,0,Two year,1,Credit card (automatic),59.9,3505.1,0,49–60 mo,Medium,2,3474.2,Retained
6322-HRPFA,Male,0,1,1,49,1,0,DSL,1,1,0,1,0,0,Month-to-month,0,Credit card (automatic),59.6,2970.3,0,49–60 mo,Medium,3,2920.4,Retained
6865-JZNKO,Female,0,0,0,30,1,0,DSL,1,1,0,0,0,0,Month-to-month,1,Bank transfer (automatic),55.3,1530.6,0,25–36 mo,Medium,2,1659.0,Retained
6467-CHFZW,Male,0,1,1,47,1,1,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Electronic check,99.35,4749.15,1,37–48 mo,Premium,3,4669.45,Churned
8665-UTDHZ,Male,0,1,1,1,0,0,DSL,0,1,0,0,0,0,Month-to-month,0,Electronic check,30.2,30.2,1,0–12 mo,Low,1,30.2,Churned
5248-YGIJN,Male,0,1,0,72,1,1,DSL,1,1,1,1,1,1,Two year,1,Credit card (automatic),90.25,6369.45,0,61–72 mo,High,6,6498.0,Retained
8773-HHUOZ,Female,0,0,1,17,1,0,DSL,0,0,0,0,1,1,Month-to-month,1,Mailed check,64.7,1093.1,1,13–24 mo,Medium,2,1099.9,Churned
3841-NFECX,Female,1,1,0,71,1,1,Fiber optic,1,1,1,1,0,0,Two year,1,Credit card (automatic),96.35,6766.95,0,61–72 mo,Premium,4,6840.849999999999,Retained
4929-XIHVW,Male,1,1,0,2,1,0,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Credit card (automatic),95.5,181.65,0,0–12 mo,Premium,3,191.0,Retained
6827-IEAUQ,Female,0,1,1,27,1,0,DSL,1,1,1,1,0,0,One year,0,Mailed check,66.15,1874.45,0,25–36 mo,High,4,1786.0500000000002,Retained
7310-EGVHZ,Male,0,0,0,1,1,0,No,0,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),20.2,20.2,0,0–12 mo,Low,0,20.2,Retained
3413-BMNZE,Male,1,0,0,1,1,0,DSL,0,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),45.25,45.25,0,0–12 mo,Medium,0,45.25,Retained
6234-RAAPL,Female,0,1,1,72,1,1,Fiber optic,1,1,0,1,1,0,Two year,0,Bank transfer (automatic),99.9,7251.7,0,61–72 mo,Premium,4,7192.8,Retained
6047-YHPVI,Male,0,0,0,5,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,69.7,316.9,1,0–12 mo,High,0,348.5,Churned
6572-ADKRS,Female,0,0,0,46,1,0,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Credit card (automatic),74.8,3548.3,0,37–48 mo,High,1,3440.7999999999997,Retained
5380-WJKOV,Male,0,0,0,34,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,106.35,3549.25,1,25–36 mo,Premium,4,3615.8999999999996,Churned
8168-UQWWF,Female,0,0,0,11,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Bank transfer (automatic),97.85,1105.4,1,0–12 mo,Premium,3,1076.35,Churned
8865-TNMNX,Male,0,1,1,10,1,0,DSL,0,1,0,0,0,0,One year,0,Mailed check,49.55,475.7,0,0–12 mo,Medium,1,495.5,Retained
9489-DEDVP,Female,0,1,1,70,1,1,DSL,1,1,0,0,1,0,Two year,1,Credit card (automatic),69.2,4872.35,0,61–72 mo,High,3,4844.0,Retained
9867-JCZSP,Female,0,1,1,17,1,0,No,0,0,0,0,0,0,One year,0,Mailed check,20.75,418.25,0,13–24 mo,Low,0,352.75,Retained
4671-VJLCL,Female,0,0,0,63,1,1,DSL,1,1,1,1,1,0,Two year,1,Credit card (automatic),79.85,4861.45,0,61–72 mo,High,5,5030.549999999999,Retained
4080-IIARD,Female,0,1,0,13,1,1,DSL,1,1,0,1,1,0,Month-to-month,1,Electronic check,76.2,981.45,0,13–24 mo,High,4,990.6,Retained
3714-NTNFO,Female,0,0,0,49,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,84.5,3906.7,0,49–60 mo,High,1,4140.5,Retained
5948-UJZLF,Male,0,0,0,2,1,0,DSL,0,1,0,0,0,0,Month-to-month,0,Mailed check,49.25,97.0,0,0–12 mo,Medium,1,98.5,Retained
7760-OYPDY,Female,0,0,0,2,1,0,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,80.65,144.15,1,0–12 mo,High,1,161.3,Churned
7639-LIAYI,Male,0,0,0,52,1,1,DSL,1,0,0,1,1,1,Two year,1,Credit card (automatic),79.75,4217.8,0,49–60 mo,High,4,4147.0,Retained
2954-PIBKO,Female,0,1,1,69,1,1,DSL,1,0,1,1,0,0,Two year,1,Credit card (automatic),64.15,4254.1,0,61–72 mo,Medium,3,4426.35,Retained
8012-SOUDQ,Female,1,0,0,43,1,1,Fiber optic,0,1,0,0,1,0,Month-to-month,1,Electronic check,90.25,3838.75,0,37–48 mo,High,2,3880.75,Retained
9420-LOJKX,Female,0,0,0,15,1,0,Fiber optic,1,1,0,0,1,1,Month-to-month,1,Credit card (automatic),99.1,1426.4,1,13–24 mo,Premium,4,1486.5,Churned
6575-SUVOI,Female,1,1,0,25,1,1,DSL,1,0,0,1,1,0,Month-to-month,1,Credit card (automatic),69.5,1752.65,0,25–36 mo,High,3,1737.5,Retained
7495-OOKFY,Female,1,1,0,8,1,1,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Credit card (automatic),80.65,633.3,1,0–12 mo,High,1,645.2,Churned
4667-QONEA,Female,1,1,1,60,1,0,DSL,1,1,1,1,0,1,One year,1,Credit card (automatic),74.85,4456.35,0,49–60 mo,High,5,4491.0,Retained
1658-BYGOY,Male,1,0,0,18,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,95.45,1752.55,1,13–24 mo,Premium,2,1718.1000000000001,Churned
8769-KKTPH,Female,0,1,1,63,1,1,Fiber optic,1,0,0,0,1,1,One year,1,Credit card (automatic),99.65,6311.2,0,61–72 mo,Premium,3,6277.950000000001,Retained
5067-XJQFU,Male,1,1,1,66,1,1,Fiber optic,0,1,1,1,1,1,One year,1,Electronic check,108.45,7076.35,0,61–72 mo,Premium,5,7157.7,Retained
3957-SQXML,Female,0,1,1,34,1,1,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),24.95,894.3,0,25–36 mo,Low,0,848.3,Retained
5954-BDFSG,Female,0,0,0,72,1,1,Fiber optic,0,0,1,1,1,1,Two year,1,Credit card (automatic),107.5,7853.7,0,61–72 mo,Premium,4,7740.0,Retained
0434-CSFON,Female,0,1,0,47,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,100.5,4707.1,0,37–48 mo,Premium,3,4723.5,Retained
1215-FIGMP,Male,0,0,0,60,1,1,Fiber optic,0,1,0,0,1,0,Month-to-month,1,Bank transfer (automatic),89.9,5450.7,0,49–60 mo,High,2,5394.0,Retained
0526-SXDJP,Male,0,1,0,72,0,0,DSL,1,1,1,0,0,0,Two year,0,Bank transfer (automatic),42.1,2962.0,0,61–72 mo,Medium,3,3031.2000000000003,Retained
0557-ASKVU,Female,0,1,1,18,1,0,DSL,0,0,1,1,0,0,One year,1,Credit card (automatic),54.4,957.1,0,13–24 mo,Medium,2,979.1999999999999,Retained
5698-BQJOH,Female,0,0,0,9,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,0,Electronic check,94.4,857.25,1,0–12 mo,High,2,849.6,Churned
5122-CYFXA,Female,0,0,0,3,1,0,DSL,0,1,0,1,1,1,Month-to-month,1,Electronic check,75.3,244.1,0,0–12 mo,High,4,225.89999999999998,Retained
8627-ZYGSZ,Male,0,1,0,47,1,1,Fiber optic,0,1,0,0,0,0,One year,1,Electronic check,78.9,3650.35,0,37–48 mo,High,1,3708.3,Retained
3410-YOQBQ,Female,0,0,0,31,1,0,DSL,0,1,1,1,1,1,Two year,0,Mailed check,79.2,2497.2,0,25–36 mo,High,5,2455.2000000000003,Retained
3170-NMYVV,Female,0,1,1,50,1,0,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),20.15,930.9,0,49–60 mo,Low,0,1007.4999999999999,Retained
7410-OIEDU,Male,0,0,0,10,1,0,Fiber optic,1,0,1,0,0,0,Month-to-month,1,Mailed check,79.85,887.35,0,0–12 mo,High,2,798.5,Retained
2273-QCKXA,Male,0,0,0,1,1,0,DSL,0,0,0,1,0,0,Month-to-month,0,Mailed check,49.05,49.05,0,0–12 mo,Medium,1,49.05,Retained
0731-EBJQB,Female,0,1,1,52,1,0,No,0,0,0,0,0,0,One year,1,Electronic check,20.4,1090.65,0,49–60 mo,Low,0,1060.8,Retained
1891-QRQSA,Male,1,1,1,64,1,1,Fiber optic,1,0,1,1,1,1,Two year,1,Bank transfer (automatic),111.6,7099.0,0,61–72 mo,Premium,5,7142.4,Retained
8028-PNXHQ,Male,0,1,1,62,1,1,No,0,0,0,0,0,0,Two year,1,Bank transfer (automatic),24.25,1424.6,0,61–72 mo,Low,0,1503.5,Retained
5630-AHZIL,Female,0,0,1,3,1,0,DSL,1,0,0,1,0,1,Month-to-month,1,Bank transfer (automatic),64.5,177.4,0,0–12 mo,Medium,3,193.5,Retained
2673-CXQEU,Female,1,0,0,56,1,1,Fiber optic,1,1,1,0,1,1,One year,0,Electronic check,110.5,6139.5,0,49–60 mo,Premium,5,6188.0,Retained
6416-JNVRK,Female,0,0,0,46,1,0,DSL,0,0,0,0,0,1,One year,0,Credit card (automatic),55.65,2688.85,0,37–48 mo,Medium,1,2559.9,Retained
5590-ZSKRV,Female,0,1,1,8,1,0,DSL,1,1,0,0,0,0,Month-to-month,0,Mailed check,54.65,482.25,0,0–12 mo,Medium,2,437.2,Retained
0191-ZHSKZ,Male,1,0,0,30,1,0,DSL,1,1,0,0,1,1,Month-to-month,1,Electronic check,74.75,2111.3,0,25–36 mo,High,4,2242.5,Retained
3887-PBQAO,Female,0,1,1,45,1,1,No,0,0,0,0,0,0,One year,1,Credit card (automatic),25.9,1216.6,0,37–48 mo,Low,0,1165.5,Retained
5919-TMRGD,Female,0,0,1,1,1,0,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,79.35,79.35,1,0–12 mo,High,1,79.35,Churned
8108-UXRQN,Female,0,1,1,11,0,0,DSL,1,0,0,0,1,1,Month-to-month,0,Electronic check,50.55,565.35,0,0–12 mo,Medium,3,556.05,Retained
9191-MYQKX,Female,0,1,0,7,1,0,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Bank transfer (automatic),75.15,496.9,1,0–12 mo,High,1,526.0500000000001,Churned
9919-YLNNG,Female,0,0,0,42,1,0,Fiber optic,0,1,1,1,1,1,Month-to-month,1,Bank transfer (automatic),103.8,4327.5,0,37–48 mo,Premium,5,4359.599999999999,Retained
0318-ZOPWS,Female,0,1,0,49,1,0,No,0,0,0,0,0,0,Two year,1,Bank transfer (automatic),20.15,973.35,0,49–60 mo,Low,0,987.3499999999999,Retained
4445-ZJNMU,Male,0,0,0,9,1,1,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Credit card (automatic),99.3,918.75,0,0–12 mo,Premium,3,893.6999999999999,Retained
4808-YNLEU,Female,0,1,0,35,1,0,DSL,1,0,0,0,1,0,One year,1,Bank transfer (automatic),62.15,2215.45,0,25–36 mo,Medium,2,2175.25,Retained
1862-QRWPE,Female,0,1,1,48,1,0,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),20.65,1057.0,0,37–48 mo,Low,0,991.1999999999999,Retained
2796-NNUFI,Female,0,1,1,46,1,0,No,0,0,0,0,0,0,Two year,1,Mailed check,19.95,927.1,0,37–48 mo,Low,0,917.6999999999999,Retained
3016-KSVCP,Male,0,1,0,29,0,0,DSL,0,0,0,0,1,0,Month-to-month,0,Mailed check,33.75,1009.25,0,25–36 mo,Low,1,978.75,Retained
4767-HZZHQ,Male,0,1,1,30,1,0,Fiber optic,0,1,1,0,0,0,Month-to-month,0,Bank transfer (automatic),82.05,2570.2,0,25–36 mo,High,2,2461.5,Retained
2424-WVHPL,Male,1,0,0,1,1,0,Fiber optic,0,0,0,1,0,0,Month-to-month,0,Electronic check,74.7,74.7,0,0–12 mo,High,1,74.7,Retained
7233-PAHHL,Male,0,1,1,66,1,1,DSL,1,0,1,1,1,1,Two year,1,Mailed check,84.0,5714.25,0,61–72 mo,High,5,5544.0,Retained
6067-NGCEU,Female,0,0,0,65,1,1,Fiber optic,1,1,1,0,1,1,Month-to-month,1,Credit card (automatic),111.05,7107.0,0,61–72 mo,Premium,5,7218.25,Retained
9848-JQJTX,Male,0,0,0,72,1,1,Fiber optic,0,1,1,0,1,1,Two year,1,Bank transfer (automatic),100.9,7459.05,0,61–72 mo,Premium,4,7264.8,Retained
8637-XJIVR,Female,0,0,0,12,1,1,Fiber optic,1,0,0,0,0,0,Month-to-month,1,Electronic check,78.95,927.35,1,0–12 mo,High,1,947.4000000000001,Churned
9803-FTJCG,Male,0,1,1,71,1,1,DSL,1,1,0,1,0,0,One year,1,Credit card (automatic),66.85,4748.7,0,61–72 mo,High,3,4746.349999999999,Retained
0278-YXOOG,Male,0,0,0,5,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,21.05,113.85,1,0–12 mo,Low,0,105.25,Churned
3212-KXOCR,Male,0,0,0,52,1,0,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),21.0,1107.2,0,49–60 mo,Low,0,1092.0,Retained
4598-XLKNJ,Female,1,1,0,25,1,0,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,98.5,2514.5,1,25–36 mo,Premium,4,2462.5,Churned
6380-ARCEH,Male,0,0,0,1,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,20.2,20.2,0,0–12 mo,Low,0,20.2,Retained
3679-XASPY,Female,0,1,1,1,1,0,No,0,0,0,0,0,0,Month-to-month,0,Electronic check,19.45,19.45,0,0–12 mo,Low,0,19.45,Retained
7123-WQUHX,Male,0,0,0,38,1,1,Fiber optic,0,0,1,1,1,0,One year,0,Bank transfer (automatic),95.0,3605.6,0,37–48 mo,High,3,3610.0,Retained
5386-THSLQ,Female,1,1,0,66,0,0,DSL,0,1,1,0,1,0,One year,0,Bank transfer (automatic),45.55,3027.25,0,61–72 mo,Medium,3,3006.2999999999997,Retained
3192-NQECA,Male,0,1,0,68,1,1,Fiber optic,0,1,1,1,1,1,Two year,1,Bank transfer (automatic),110.0,7611.85,1,61–72 mo,Premium,5,7480.0,Churned
6180-YBIQI,Male,0,0,0,5,0,0,DSL,0,0,0,0,0,0,Month-to-month,0,Mailed check,24.3,100.2,0,0–12 mo,Low,0,121.5,Retained
6728-DKUCO,Female,0,1,1,72,1,1,Fiber optic,1,1,0,0,1,1,One year,1,Electronic check,104.15,7303.05,0,61–72 mo,Premium,4,7498.8,Retained
9750-BOOHV,Female,0,0,0,32,0,0,DSL,1,0,0,0,0,0,One year,0,Mailed check,30.15,927.65,0,25–36 mo,Low,1,964.8,Retained
8597-CWYHH,Male,0,0,0,43,1,1,Fiber optic,0,0,0,0,1,1,One year,0,Mailed check,94.35,3921.3,0,37–48 mo,High,2,4057.0499999999997,Retained
2848-YXSMW,Male,0,1,1,72,1,0,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),19.4,1363.25,0,61–72 mo,Low,0,1396.8,Retained
0486-HECZI,Male,0,1,0,55,1,1,Fiber optic,1,1,0,0,1,0,Month-to-month,1,Electronic check,96.75,5238.9,1,49–60 mo,Premium,3,5321.25,Churned
4549-ZDQYY,Female,0,0,0,52,1,0,DSL,1,0,1,1,0,0,One year,0,Credit card (automatic),57.95,3042.25,0,49–60 mo,Medium,3,3013.4,Retained
5712-AHQNN,Female,0,0,0,43,1,0,Fiber optic,0,1,1,0,1,0,Month-to-month,1,Electronic check,91.65,3954.1,0,37–48 mo,High,3,3940.9500000000003,Retained
4846-WHAFZ,Female,1,1,0,37,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,76.5,2868.15,1,37–48 mo,High,0,2830.5,Churned
5256-SKJGO,Female,0,1,1,64,0,0,DSL,0,1,0,1,1,1,Two year,1,Electronic check,54.6,3423.5,0,61–72 mo,Medium,4,3494.4,Retained
3071-VBYPO,Male,0,1,1,3,1,0,Fiber optic,1,1,0,0,1,0,Month-to-month,0,Electronic check,89.85,248.4,0,0–12 mo,High,3,269.54999999999995,Retained
9560-BBZXK,Female,0,0,0,36,0,0,DSL,1,0,0,0,0,0,Two year,0,Bank transfer (automatic),31.05,1126.35,0,25–36 mo,Low,1,1117.8,Retained
5299-RULOA,Female,0,1,1,10,1,1,Fiber optic,1,0,0,0,1,1,Month-to-month,1,Electronic check,100.25,1064.65,1,0–12 mo,Premium,3,1002.5,Churned
8402-OOOHJ,Female,0,0,0,41,1,0,No,0,0,0,0,0,0,Two year,0,Mailed check,20.65,835.15,0,37–48 mo,Low,0,846.65,Retained
9445-ZUEQE,Male,0,1,1,27,1,1,Fiber optic,0,1,0,1,0,0,Month-to-month,1,Credit card (automatic),85.2,2151.6,0,25–36 mo,High,2,2300.4,Retained
1091-SOZGA,Female,0,1,1,56,1,1,Fiber optic,0,0,1,0,1,1,One year,1,Credit card (automatic),99.8,5515.45,0,49–60 mo,Premium,3,5588.8,Retained
2928-HLDBA,Female,0,0,0,6,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,20.7,112.75,0,0–12 mo,Low,0,124.19999999999999,Retained
0404-SWRVG,Male,0,0,0,3,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,74.4,229.55,1,0–12 mo,High,0,223.20000000000002,Churned
6497-TILVL,Female,0,1,1,7,1,0,DSL,1,0,0,0,0,0,Month-to-month,0,Mailed check,50.7,350.35,0,0–12 mo,Medium,1,354.90000000000003,Retained
7219-TLZHO,Female,0,1,1,4,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,20.85,62.9,0,0–12 mo,Low,0,83.4,Retained
4622-YNKIJ,Male,0,0,0,33,1,0,Fiber optic,1,0,0,1,1,0,Two year,1,Electronic check,88.95,3027.65,0,25–36 mo,High,3,2935.35,Retained
4412-YLTKF,Female,1,0,0,27,1,1,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Electronic check,78.05,2135.5,1,25–36 mo,High,1,2107.35,Churned
6734-PSBAW,Male,0,1,0,72,1,1,No,0,0,0,0,0,0,Two year,1,Bank transfer (automatic),23.55,1723.95,0,61–72 mo,Low,0,1695.6000000000001,Retained
3930-ZGWVE,Male,0,0,0,1,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,19.75,19.75,0,0–12 mo,Low,0,19.75,Retained
2639-UGMAZ,Male,1,0,0,71,0,0,DSL,1,1,0,0,1,1,One year,1,Electronic check,56.45,3985.35,0,61–72 mo,Medium,4,4007.9500000000003,Retained
2876-GZYZC,Female,0,0,0,13,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,85.95,1215.65,0,13–24 mo,High,1,1117.3500000000001,Retained
6207-WIOLX,Female,0,1,1,25,0,0,DSL,1,1,1,0,1,1,Month-to-month,1,Credit card (automatic),58.6,1502.65,1,25–36 mo,Medium,5,1465.0,Churned
8587-XYZSF,Male,0,0,0,67,1,0,DSL,0,0,0,1,0,0,Two year,0,Bank transfer (automatic),50.55,3260.1,0,61–72 mo,Medium,1,3386.85,Retained
3091-FYHKI,Male,0,0,0,1,0,0,DSL,0,0,0,0,0,1,Month-to-month,1,Electronic check,35.45,35.45,1,0–12 mo,Medium,1,35.45,Churned
2372-HWUHI,Male,0,0,0,2,1,0,DSL,0,0,0,0,0,0,Month-to-month,0,Electronic check,44.35,81.25,1,0–12 mo,Medium,0,88.7,Churned
7799-LGRDP,Female,0,0,0,43,1,1,No,0,0,0,0,0,0,Two year,1,Credit card (automatic),25.7,1188.2,0,37–48 mo,Low,0,1105.1,Retained
7850-VWJUU,Female,0,0,0,23,1,0,Fiber optic,1,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),75.0,1778.5,0,13–24 mo,High,1,1725.0,Retained
3774-VBNXY,Female,0,1,1,64,1,0,No,0,0,0,0,0,0,Two year,0,Mailed check,20.2,1277.75,0,61–72 mo,Low,0,1292.8,Retained
6217-KDYWC,Male,0,0,1,57,1,0,No,0,0,0,0,0,0,Two year,1,Mailed check,19.6,1170.55,0,49–60 mo,Low,0,1117.2,Retained
0390-DCFDQ,Female,1,1,0,1,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Mailed check,70.45,70.45,1,0–12 mo,High,0,70.45,Churned
3146-MSEGF,Female,1,1,1,72,1,1,DSL,1,1,1,1,1,1,Two year,1,Credit card (automatic),88.05,6425.65,0,61–72 mo,High,6,6339.599999999999,Retained
4080-OGPJL,Female,0,0,0,8,1,1,DSL,1,0,0,1,0,1,Month-to-month,0,Electronic check,71.15,563.65,1,0–12 mo,High,3,569.2,Churned
1095-WGNGG,Female,0,1,0,61,1,1,Fiber optic,0,1,0,0,1,1,Two year,1,Bank transfer (automatic),101.05,5971.25,0,61–72 mo,Premium,3,6164.05,Retained
2636-SJDOU,Male,0,0,0,64,1,1,Fiber optic,1,1,0,0,0,0,One year,1,Credit card (automatic),84.3,5289.05,0,61–72 mo,High,2,5395.2,Retained
1131-QQZEB,Male,1,1,0,71,1,1,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),23.95,1756.2,0,61–72 mo,Low,0,1700.45,Retained
5716-EZXZN,Female,0,1,1,65,1,1,Fiber optic,1,1,0,1,1,0,Two year,1,Credit card (automatic),99.05,6416.7,0,61–72 mo,Premium,4,6438.25,Retained
6837-BJYDQ,Male,0,0,0,3,1,0,No,0,0,0,0,0,0,One year,0,Mailed check,19.6,61.35,0,0–12 mo,Low,0,58.800000000000004,Retained
2135-RXIHG,Male,0,0,0,1,1,0,DSL,0,0,0,0,0,0,Month-to-month,1,Electronic check,45.65,45.65,1,0–12 mo,Medium,0,45.65,Churned
6440-DKQGE,Male,0,0,1,30,1,0,DSL,0,1,1,0,1,0,One year,0,Credit card (automatic),64.5,1929.95,0,25–36 mo,Medium,3,1935.0,Retained
3466-BYAVD,Male,0,1,1,15,1,0,DSL,0,1,1,1,0,1,Month-to-month,1,Mailed check,69.5,1071.4,0,13–24 mo,High,4,1042.5,Retained
3780-YVMFA,Female,0,1,1,8,1,0,DSL,0,0,0,1,1,1,Month-to-month,1,Electronic check,68.55,564.35,0,0–12 mo,High,3,548.4,Retained
3874-EQOEP,Male,0,0,0,7,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,0,Mailed check,95.0,655.5,1,0–12 mo,High,2,665.0,Churned
1679-JRFBR,Female,0,1,1,70,1,1,Fiber optic,1,1,1,0,1,1,One year,1,Credit card (automatic),108.15,7930.55,0,61–72 mo,Premium,5,7570.5,Retained
9073-ZZIAY,Male,0,1,1,62,1,0,DSL,1,1,1,1,1,1,Two year,0,Electronic check,86.1,5215.25,0,61–72 mo,High,6,5338.2,Retained
